input,output,instruction
Is Master of Science (Electrical Engineering) offered in Islamabad?,Yes,
What be the programme for CYS (Curriculum Year Chronological succession) at FAST NU?," The program aims to equip students with theoretical knowledge and practical skills necessary for careers in cyber security, offering opportunities such as cyber security specialists, analysts, consultants, auditors, and digital forensics analysts. To graduate, students must complete at least 130 credit hours and achieve a minimum CGPA of 2.00.",
What is involved in the Capstone Labor (Thesis / Project / Practicum) at fasting NU?,"Students must complete a capstone project, which can take the form of a thesis, project, or practicum. This project allows students to apply their knowledge to a real-world problem, conduct independent research, or gain practical experience in a professional setting. The capstone project is a critical component of the program and demonstrates the student’s ability to manage and deliver a significant software project.",
What is the extension for the Director in Karachi?,ext: 213,
"What is the medium of instruction at FAST NU?
"," The medium of instruction and examinations for all courses is English (except language courses where it may be different). However, students may opt to answer the 'Religious and Islamic Studies' examination in either English or Urdu.",
Is Doctor of Philosophy (Mathematics) offered in Program Type?,No,
What banks offer loans to students?,"PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB offer loans to students.",
"What topics are addressed in "" Software package Project Direction (CS 5015) "" at fasting NU?","This course provides an in-depth understanding of the principles and practices of managing software projects. It covers project planning, scheduling, risk management, cost estimation, and resource allocation. Students learn how to use project management tools and techniques to ensure successful project delivery.",
"What aspects of student life are emphasized at FAST NU?
","Students have access to a range of extracurricular activities, including clubs, professional organizations, and social events. These activities provide opportunities for networking, professional development, and personal growth. The program encourages students to participate in student life to enhance their overall educational experience.",
Be Doctor of Doctrine (Civil Engineering) offered in Program Type?,No,
Sindh Government Endowment Board Scholarship,"The Sindh Government offers scholarships to students of Karachi campus on need-cum-merit for both under-graduate and graduate studies. The scholarship covers full tuition fee for entire duration of the program, renewable every year. The quota for students from rural sector is 60%, and the remaining 40% is for the students from urban sector. About 25 new scholarships are offered every year under this scheme.",
What constitutes an pedantic admonition operating room probation at FAST NU?," At the end of every semester (including summer semester), warning is issued if the CGPA of a student is less than the minimum required for graduation. Minimum CGPA required to avoid academic warning, BS/BBA programs 2.00, MS/MBA programs 2.50, PhD programs 3.00. a) A student on academic warning needs the approval of the Head of Department to register in desired courses. If, after a semester, the CGPA of a student is less than the required minimum, the Warning Count increases by one. c) If the Warning Count becomes three, admission of the student in the University is closed. d) If after receiving warning, CGPA improves and equals or exceeds the required minimum, the Warning Count is reset to zero.",
What is the extension for the Computer Lab in Peshawar?,ext: 120,
Is Master of Science (Mathematics) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Applied Linguistics) offered in Karachi?,No,
Is Doctor of Philosophy (Software Engineering) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Civil Engineering) offered in Karachi?,No,
Is Bachelor of Science (Computer Engineering) offered in Chiniot-Faisalabad?,No,
"What is the focus of the Final Year Project at FAST NU?
","The program includes a mandatory final year project focused on software construction and development, allowing students to apply their knowledge and skills in practical scenarios.",
Accession Procedure,"Admission Application Form must be filled online by following the instructions. Click Here for Online Admission Application Applications received through post or by hand will not be accepted/entertained. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicant will confirm that information entered in the Admission Application Form is correct. In case of incorrect information, the University has all the rights to cancel the application/admission without any fee refund. Applicant will deposit the Application Fee in the designated Bank. Fee is non-refundable/adjustable. Upon payment of the Application Processing Fee (and additional Admission Test Fee), the applicant will print his/her ADMIT CARD bearing the applicant’s TEST ROLL NUMBER. The applicant should then visit the test campus on the specified date and time as mentioned on the Admit card. Admission of a student automatically stands cancelled if he or she fails in the required exam whose result was not available at the time of admission. Admission Application Form must be filled online by following the instructions. Click Here for Online Admission Application Applications received through post or by hand will not be accepted/entertained. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicant will confirm that information entered in the Admission Application Form is correct. In case of incorrect information, the University has all the rights to cancel the application/admission without any fee refund. Admission of a student automatically stands cancelled if he or she fails in the required exam whose result was not available at the time of admission.",
"What does the academic calendar look like at FAST NU?
","The academic year is divided into semesters, with each semester consisting of approximately 16 weeks of instruction. The academic calendar includes important dates such as the start and end of classes, examination periods, and holidays. Students are advised to familiarize themselves with the academic calendar and plan accordingly.",
Is Knight bachelor of Skill (Software package Engineering) offered in Lahore?,Yes,
What is the university extension for Admissions Inquiry in Lahore?,dial 1,
Are there PhD programs in Computer Science in Lahore?,"Yes, the Doctor of Philosophy in Computer Science program is offered in Lahore.",
What housing and accommodation options equal available to student at FAST NU?,"The program does not provide on-campus housing, but students can find accommodation in nearby areas. The program office can assist students in finding suitable housing options and provide information about local rental markets. Students are encouraged to secure housing well in advance of the start of the academic term.",
"What courses are typically offered in Semester 1 at FAST NU?
"," AI 5001 Advanced Artificial Intelligence 3+0, AI 5002 Mathematical Foundations of Al 3+0, CS 4002 Applied Programming NC, General Elective (Computing/MG) 3+0. Total 9+0",
Is Master of Skill (Business Analytics) offered in Political platform Type?,No,
What exist the commission of the program at fasting NU?," To produce computer scientists with advanced knowledge and skills in the field, sought after by national and international IT organizations and universities.",
Is Bachelor of Science (Data Science) offered in Program Type?,No,
Can I pursue multiple sclerosis in Cyber Security in Karachi?,"Yes, the Master of Science in Cyber Security program is offered in Karachi.",
How can student apply for a subject area loan?,Students should apply using the prescribed form available at all campuses or downloadable from the University website.,
"What is the overview of the program at FAST NU?
","This document outlines the structure and objectives of the Bachelor of Science (Software Engineering) program, focusing on producing proficient and socially responsible software engineering professionals.",
Cost Bachelor of Science (Financial Technology) offer in Lahore?,Yes,
"What are the academic rules and regulations at FAST NU?
"," Students are required to maintain 100% attendance in lectures, labs, tutorials, seminars, and discussions as prescribed by the course instructor. Absence of a maximum of 20% of the total lectures may be condoned for genuine reasons such as illness. Failure to meet attendance requirements will render a student ineligible to appear in the final examination of the concerned course.",
"How does one formally withdraw from a course at FAST NU?
"," Students are not allowed to withdraw from any course in the first semester. Withdrawal is not allowed due to shortage of attendance unless it is due to reasons beyond one's control, e.g. hospitalization. Application for withdrawal from course(s) must be countersigned by the parent or the guardian of the student. Request for withdrawal must be submitted to the Head of Department (HoD) before the last day of classes. Request to withdraw from a course requires approval of the HoD. For courses having an associated lab, withdrawal is always from both theory and lab portions of the course. Fee is not refunded for a withdrawn course. Students under warning should also repeat such passed courses in which their GPA was less than the minimum CGPA required for their degree. A student can also repeat a course if he/she desires to improve his/her grade. Only the most recent grade is used in calculating the CGPA. A repeat count appears on the transcript for all repeated courses.",
Is Bachelor of Science (Civil Engineering) offered in Program Type?,No,
What be the mission of the computer programme at FAST NU?, To produce competent and well-rounded professionals capable of applying Artificial Intelligence & Data Science to solve real-life problems.,
Is Bachelor of Science (Civil Engineering) offered in Karachi?,No,
Be Bachelor of Science (Civil Engineering) volunteer in Karachi?,No,
Constitute Master of Science (Business organisation Analytics) offer in Chiniot - Faisalabad?,No,
Is Bachelor of Science (Financial Technology) offered in Lahore?,Yes,
Is Bachelor of Science (Computer Science) offered in Chiniot-Faisalabad?,Yes,
What is the speech sound numeral for the Lahore campus?,Tel: 111 128 128 or (042) 516 5680-83,
What should One know astir the NU Online Admission Test for Alum program?,"Admission Tests details are available on the University's admission website. The online admission test is conducted on a computer. Candidates should be proficient with using a mouse and keyboard. Each candidate's test is unique, with sections like English, Analytical skills, and Math appearing randomly. Candidates can navigate within each section to review and modify their answers. Each section is timed independently. The test summary is displayed at the end, and it lasts two to three hours. Applicants must arrive on time as indicated on their admit cards; latecomers are not permitted. Only Admit Cards are allowed in the test center. The test is administered at all University campuses.",
What represent the admission fee criteria for programs at FAST NU?,"Admission to the program is based on NTS-NAT or SAT scores, with matric and intermediate marks also influencing the merit list.",
What exist the commission of the program at fasting NU?," To produce computer scientists with advanced knowledge and skills in the field, sought after by national and international IT organizations and universities.",
"What is the tentative study plan?
",CS 5001 Research Methodology 3+0. CS 5015 Software Project Management 3+0. MG 4006 Management & Org. Behaviour 3+0. Total 9+0. CS 5002 Software Quality Assurance 3+0. CS 5003 Software Process Menage. & Metrics 3+0. CS 5004 Requirements Engineering 3+0. Total 9+0. Computing Elective 3+0. MS Thesis-I/MS Project-I/Practicum-1 0+3. Total 3+3. General Elective-I(Computing/ MG) 3+0. MS Thesis-lI/MS Project-II/Practicum-I| 0+3. Total 3+3.,
What subject matter do the Doyen convey regarding programs in Computing at FAST NU?," Welcome to the FAST School of Computing, a pioneer in computing education since 1985. We offer five bachelor's, six master's, and two PhD degree programs across five cities in Pakistan. Our programs focus on cutting-edge technologies like Generative AI, Deep Learning, Data Science, Blockchain, Cyber Security, Gaming, and Robotics, aimed at driving socio-economic development. Recognized by P@SHA as Pakistan's top-ranked university in computing education, our graduates play active roles nationally and internationally.",
Be Master of Science (Artificial Intelligence) offered in Lahore?,No,
What be the facsimile number for the Lahore campus?,Fax: (042) 516 5232,
Follow Md of Philosophy (Management Sciences) offered in Karachi?,No,
How will I know if I am selected?,Selected candidates are notified via SMS and email. Candidates can also check their admission status on the University website.,
Can I pursue MS in Cyber Security in Karachi?,"Yes, the Master of Science in Cyber Security program is offered in Karachi.",
Is Master of Business Administration offered in Program Type?,No,
GRE and SAT Examinations,"Those who have taken SAT examination can apply for admission to the undergraduate programs, i.e. BBA or BS. Those who have taken the GRE (subject test) can apply for admission to graduate programs, i.e. MS, MBA or PhD. Click here to Apply Online The Institution code for receiving SAT scores is 4575 The Institution code for receiving GRE scores is 7386",
Is Bachelor of Science (Financial Technology) offered in Program Type?,No,
What course be typically offered in Semester 2 at FAST NU?," AI 5003 Advanced Machine Learning 3+0, CS 5001 Research Methodology 3+0, Computing Elective-1 3+0. Total 9+0",
How dress one officially withdraw from a course at FAST NU?," Students are not allowed to withdraw from any course in the first semester. Withdrawal is not allowed due to shortage of attendance unless it is due to reasons beyond one's control, e.g. hospitalization. Application for withdrawal from course(s) must be countersigned by the parent or the guardian of the student. Request for withdrawal must be submitted to the Head of Department (HoD) before the last day of classes. Request to withdraw from a course requires approval of the HoD. For courses having an associated lab, withdrawal is always from both theory and lab portions of the course. Fee is not refunded for a withdrawn course. Students under warning should also repeat such passed courses in which their GPA was less than the minimum CGPA required for their degree. A student can also repeat a course if he/she desires to improve his/her grade. Only the most recent grade is used in calculating the CGPA. A repeat count appears on the transcript for all repeated courses.",
What are the PEEF Learnedness?,"The Government of Punjab gives 42 scholarships to indigent students with Punjab domicile. Newly admitted students in any campus of the university can apply. The scholarship covers some portion of the tuition fee, with the remaining fee potentially covered by the University as Qarz-e-Hasna.",
What is the address for the Peshawar campus?,"160, Industrial Estate, Jamrud Road",
Which financial institutions bring home the bacon loans for students?,"Students can get loans from PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB.",
Is Bachelor of Science (Business Analytics) offered in Program Type?,No,
What be the degree demand for students at fasting NU?,"To obtain a BS (Software Engineering) degree, students must complete a minimum of 130 credit hours, including core courses, and maintain a CGPA of at least 2.00.",
Cost Passkey of Science (Data Skill) offered in Peshawar?,Yes,
What touchstone comprise used to assess English language proficiency for admissions at fasting NU?,Non-native English speakers must demonstrate proficiency in English through standardized tests such as TOEFL or IELTS. Minimum score requirements vary by program but generally include a TOEFL score of at least 80 (internet-based) or an IELTS score of at least 6.5.,
Is Doctor of Philosophy (Civil Engineering) offered in Chiniot-Faisalabad?,No,
"How is the degree awarded at FAST NU?
"," To earn an MS degree, students must complete at least 30 credit hours, including core courses, and maintain a CGPA of 2.50 or more.",
"What is involved in the Capstone Project (Thesis/Project/Practicum) at FAST NU?
","Students must complete a capstone project, which can take the form of a thesis, project, or practicum. This project allows students to apply their knowledge to a real-world problem, conduct independent research, or gain practical experience in a professional setting. The capstone project is a critical component of the program and demonstrates the student’s ability to manage and deliver a significant software project.",
Is Bachelor at arms of Science (Data Science) offer in Program Type?,No,
How coiffe semester adjustment work at FAST NU?," Students are required to register in Fall and Spring semesters and to pay the current semester fees. All students are required to register for normal course load, except those on academic warning. The recommended registration procedure is as follows a) Clear all previous fees and dues before registration. b) First semester students should register through the Academic Office. All other students should register online. c) Pay current dues in full immediately after registration is complete. Registration of Students under Warning Must register for all such courses in which the grade was F or U. Should register for all such courses in which the grade was D, D+, or C-. Should not register for more than five courses. Students with warning count = 2 MUST not register for a new course. Parents/guardians are called to the campus for a consultative meeting with the HoD. Must obtain written approval from their Head of Department for each course that they register, add, drop, or withdraw. Students studying under scholarships (OSP, HEC, FAST or others) must take full load.",
"What courses are typically offered in Semester 3 at FAST NU?
"," Computing Elective-Il 3+0, AI MS Thesis-1/MS Project-1 0+3. Total 3+3",
Are there BBA programs in Karachi?,"No, the Bachelor of Business Administration program is not offered in Karachi.",
What is the extension for Admissions Inquiry in Islamabad?,ext: 134/259/359,
What is the savoir faire for the Karachi Main campus?,Shah Latif Town (on National Highway),
"What are the degree requirements for students at FAST NU?
","To earn a BS (Data Science) degree, students must complete a minimum of 130 credit hours, including all core courses, and achieve a CGPA of at least 2.00.",
What are the criteria for missive grades and their corresponding grade point at FAST NU?," A+ 4.00, A 4.00, A- 3.67, B+ 3.33, B 3.00, B- 2.67, C+ 2.33, C 2.00, C- 1.67, D+ 1.33, D 1.00, F 0.00",
What is the Security Depositary?,"A refundable security deposit of Rs 20,000 is also payable at the time of admission.",
What does the pedantic calendar flavor similar at FAST NU?,"The academic year is divided into semesters, with each semester consisting of approximately 16 weeks of instruction. The academic calendar includes important dates such as the start and end of classes, examination periods, and holidays. Students are advised to familiarize themselves with the academic calendar and plan accordingly.",
What is the address for the Peshawar campus?,"160, Industrial Estate, Jamrud Road",
What must foreign subject accede at the meter of admission fee?,"At the time of admission, foreign nationals must submit a No Objection Certificate (NOC) from the Ministry of Education, Government of Pakistan.",
Be Master of Science (Civil Applied science) offer up in Chiniot - Faisalabad?,No,
Be Bachelor of Science (Civil Engineering science) offered in Peshawar?,No,
Can I pursue a PhD in Electrical Engineering in Islamabad?,"Yes, the Doctor of Philosophy in Electrical Engineering program is offered in Islamabad.",
Follow Md of Philosophy (Management Sciences) offered in Karachi?,No,
Are there MBA programs in Karachi?,"No, the Master of Business Administration program is not offered in Karachi.",
What is the admission process?,"The Admission Application Form must be filled online following the instructions. Applications received through post or by hand will not be accepted. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicants must confirm the correctness of the information entered in the form. Incorrect information may lead to application/admission cancellation without fee refund. Applicants will deposit the application fee in the designated bank, which is non-refundable/adjustable. After paying the fee, applicants will print their Admit Card bearing their Test Roll Number and visit the test campus on the specified date and time. Admission will be canceled if the required exam result is not available at the time of admission.",
What is the Campus Transfer Fee?,"Rs. 5,000",
What scholarships are available for MS and PhD students?,"The Higher Education Commission (HEC) provides liberal scholarships to students studying for MS and PhD degrees at this university. The scholarship covers tuition fee, monthly stipend, and book allowance.",
Are there Accounting and Finance programs in Lahore?,"Yes, the Bachelor of Science in Accounting and Finance program is offered in Lahore.",
Is Doc of Philosophy (Computer Science) propose in Peshawar?,Yes,
Be Doctor of Doctrine (Management Sciences) offer in Programme Type?,No,
Be Doctor of Philosophy (Software package Engineering) declare oneself in Capital of pakistan?,Yes,
Be Knight bachelor of Science (Computer Science) offered in Capital of pakistan?,Yes,
Is Doctor of Philosophy (Software Engineering) offered in Chiniot-Faisalabad?,No,
What is the extension phone for the Theatre director in Lahore?,ext: 227,
Is Bachelor of Science (Estimator Science) extend in Curriculum Type?,No,
"What are the requirements for making the Dean's List of Honours at FAST NU?
"," If the SGPA of an undergraduate student is between 3.50 and 3.99, his/her name is included in the Dean's List. The student receives a Certificate and his/her name is also placed on the University's website. Only those students are included in this list who have completed the semester with regular course load prescribed in the study plan.",
What is the Campus Transfer Fee?,"Rs. 5,000",
Who provides fiscal assistance for students ineffective to pay their full fee?,The Old Students Association of FAST (OSAF) provides financial assistance for such students.,
What are the dates for Admission Formalities for BBA BS(A&F) & BS?,Jul 26 (Fri) - Aug 13 (Tue),
When and how be take applicants announce at FAST NU?,Selected candidates are notified via SMS and email. They can also check their admission status using their ARN on the University websites admissions.nu.edu.pk or www.nu.edu.pk.,
Make up Dr. of Philosophy (Mathematics) propose in Lahore?,Yes,
Can 1 make out MS in Software Technology in Lahore?,"Yes, the Master of Science in Software Engineering program is offered in Lahore.",
Follow Master of Science (Electrical Engineering) offer in Peshawar?,No,
Be Doctor of Doctrine (Civil Engineering) offered in Program Type?,No,
Is Doctor of Philosophical system (Maths) offered in Program Eccentric?,No,
What narrow subjects are offer under CYS at fasting NU?,"Specialized subjects in the program encompass Database Systems, Operating Systems, Design and Analysis of Algorithms, Probability and Statistics, Theory of Automata, Computer Networks, Software Engineering, Computer Architecture, Artificial Intelligence, and Applied Human Computer Interaction. The curriculum also includes Information Security, Professional Practices in IT, Compiler Construction, Parallel and Distributed Computing, Entrepreneurship, and Advanced DBMS.",
Is Master of Science (Applied Linguistics) offered in Program Type?,No,
"What is the focus of the Final Year Project at FAST NU?
","The program includes a mandatory final year project focused on software construction and development, allowing students to apply their knowledge and skills in practical scenarios.",
What is the extension for Admissions Inquiry in Peshawar?,ext: 155,
"What are the notes regarding the program at FAST NU?
"," Applied Programming course has no Credit (NC) and may be exempted based on admission test performance. Object Oriented Programming and Data Structures must be studied at the undergraduate level. Registration in MS Thesis/Project-I is contingent upon earning at least 15 credits, passing Research Methodology, and maintaining a CGPA of 2.5 or higher.",
Punjab Educational Endowment Fund (PEEF) Eruditeness,The Government of Punjab gives 42 scholarships to indigent students having domicile of Punjab. Newly admitted students in any campus of the university can apply for this scholarship.The scholarship is for 4-year undergraduate studies and covers some portion of the tuition fee. The remaining tuition fee can be given by the University as Qarz-e-Hasna.,
Is Master of Science (Electronic computer Science) offered in Syllabus Case?,No,
How will I fuck if I am select?,Selected candidates are notified via SMS and email. Candidates can also check their admission status on the University website.,
"How does academic grading work at FAST NU?
"," The performance of students is assessed during the semester through midterm exams, assignments, quizzes, case studies or any other method considered appropriate by the course instructor and the University. A course outline describing the course contents and grading criteria is shared with the students as the start of a course. Normally, semester work will contribute 50% towards the final grade, whereas the final examination will contribute the remaining 50% of the total marks. A letter grade will be awarded to each student based on his/her overall academic performance in a course.",
What financial aid and scholarship opportunity are useable to students at fasting NU?,"Various financial aid options are available to help students fund their education. These may include merit-based scholarships, need-based grants, and student loans. Applicants are encouraged to explore financial aid opportunities and submit the necessary forms by the specified deadlines.",
Is Master of Science (Mathematics) offered in Chiniot-Faisalabad?,No,
What is the extension for the Director in Islamabad?,ext: 101,
What is the phone number for the Peshawar campus?,03341128128 or 03351128128 or 03361128128,
Is Doctor of Philosophy (Civil Engineering) offered in Peshawar?,No,
What follow the e mail for entrance money for the Karachi campus?,admissions.khi@nu.edu.pk,
"What are the admission requirements and procedures at FAST NU?
","Admission to the university is strictly based on merit, without quotas, reserved seats, or admissions through donations. There is no age limit for applicants. Merit is evaluated through the university's own admission test or an equivalent test by a reputable organization. Foreign nationals must submit a No Objection Certificate (NOC) from Pakistan's Ministry of Education at the time of admission. Admission based on scores obtained in the NTS (NAT or GAT) exams allows applicants who took these exams within the past six months to apply for Bachelor's degree programs. Those who have taken the GAT-Subject test can apply for admission to MS programs. SAT and GRE exams are also accepted for admission to Bachelor’s degree programs, specifically for students residing abroad. Candidates awaiting results of FA/FSc/A-level exams can apply provisionally, contingent upon passing with the required marks. If a candidate fails to qualify, admission is cancelled with a refund of tuition fees per HEC guidelines. Applicants must promptly inform the university of their results for refund processing. The admission process requires filling out an online application form on the university's website. Each applicant receives a Unique Application Reference Number (ARN) for future use. A processing fee of Rs 1500 is required for each application, with an additional Rs 500 per campus or type of admission test beyond the first. Admission tests are conducted at all university campuses and must be completed as scheduled.",
How do fasting NU collaborate with diligence for its programs?,"The program maintains strong ties with the software industry, providing students with opportunities for internships, projects, and networking. Industry partners contribute to the program by offering guest lectures, mentoring students, and providing input on curriculum development.",
"What are the admission criteria for programs at FAST NU?
","Admission to the program is based on NTS-NAT or SAT scores for domestic and international students, respectively. Additionally, matric and intermediate marks contribute to the merit list.",
Is Bachelor of Science (Civil Engineering) offered in Peshawar?,No,
"Under what circumstances does FAST NU cancel admissions?
", The university reserves the right to cancel the admission of any student involved in undesirable or illegal activities or found to have submitted false information or documents.,
What does the HEC scholarship for MS and PhD students get over?,"HEC scholarships cover the tuition fee, monthly stipend, and book allowance for MS and PhD students.",
"What are the rules governing the summer semester at FAST NU?
"," Summer is not a regular semester. Courses may be offered during summer break at the discretion of the Campus Director. Following rules apply a) Summer semester will be offered as an optional semester of 8 to 9 weeks' duration. b) The contact hours per week during the Summer Semester will be doubled to ensure that the course is completely taught in summer (with half the duration as compared to regular semester). c) Research courses or projects will not be offered. d) A student cannot register for a new course. Exception to this rule is granted when an elective course is being offered by a distinguished scholar or professional who is only available during summer. e) Students are not allowed to register in summer semester for courses which they have previously taken, and were awarded a W grade. f) A student will be allowed to repeat a maximum of 2 courses (with associated labs if any). g) A student can withdraw from a summer course on or before the last day of classes. h) Summer courses cannot be dropped, hence, fee is neither refunded nor carried forward to next semester(s). i) Financial assistance, scholarship or fee concession is not available in summer semester. j) Minimum of TEN (10) students should register in a summer course. k) Warning Count is incremented/decremented in summer semester.",
What be the rules govern the summer semester at FAST NU?," Summer is not a regular semester. Courses may be offered during summer break at the discretion of the Campus Director. Following rules apply a) Summer semester will be offered as an optional semester of 8 to 9 weeks' duration. b) The contact hours per week during the Summer Semester will be doubled to ensure that the course is completely taught in summer (with half the duration as compared to regular semester). c) Research courses or projects will not be offered. d) A student cannot register for a new course. Exception to this rule is granted when an elective course is being offered by a distinguished scholar or professional who is only available during summer. e) Students are not allowed to register in summer semester for courses which they have previously taken, and were awarded a W grade. f) A student will be allowed to repeat a maximum of 2 courses (with associated labs if any). g) A student can withdraw from a summer course on or before the last day of classes. h) Summer courses cannot be dropped, hence, fee is neither refunded nor carried forward to next semester(s). i) Financial assistance, scholarship or fee concession is not available in summer semester. j) Minimum of TEN (10) students should register in a summer course. k) Warning Count is incremented/decremented in summer semester.",
Be BBA available in Chiniot - Faisalabad?,"Yes, the Bachelor of Business Administration program is offered in Chiniot-Faisalabad.",
Can Single study army intelligence in Karachi?,"Yes, the Bachelor of Science in Artificial Intelligence program is offered in Karachi.",
What scholarships are available for molarity and PhD students?,"The Higher Education Commission (HEC) provides liberal scholarships to students studying for MS and PhD degrees at this university. The scholarship covers tuition fee, monthly stipend, and book allowance.",
"What research opportunities are available within the program at FAST NU?
",The program provides opportunities for students to engage in research related to software project management. Students are encouraged to publish their findings and contribute to the academic and professional communities.,
Is Master of Science (Business Analytics) offered in Islamabad?,Yes,
Is Master of Science (Electrical Engineering) offered in Peshawar?,No,
"What is included in the program introduction at FAST NU?
","The MS Software Project Management program aims to equip students with advanced knowledge and skills to manage software development projects effectively. It emphasizes the importance of both theoretical knowledge and practical application, preparing graduates to take on leadership roles in the software industry.",
What exist the commission of the program at fasting NU?," To produce computer scientists with advanced knowledge and skills in the field, sought after by national and international IT organizations and universities.",
Who is eligible for the Sindh Government Endowment Board Scholarships?,"Students from Karachi campus on need-cum-merit for both undergraduate and graduate studies are eligible. The scholarship covers full tuition fee, renewable yearly. The quota is 60% for rural students and 40% for urban students, with about 25 new scholarships offered yearly.",
Is Bachelor of Science (Computer Science) offered in Lahore?,Yes,
What is the tuition fee per credit hour for BBA / BS?,"Rs. 10,000",
Is Doctor of Philosophy (Computer Science) offered in Chiniot-Faisalabad?,Yes,
Be Bachelor of Science (Civil Engineering) volunteer in Karachi?,No,
Is Bachelor of Science (Figurer Engineering) offer in Lahore?,No,
Is Doctor of Philosophy (Management Sciences) offered in Peshawar?,No,
Other Scholarships,"In addition to the above scholarships there are various community based scholarships offered by various committees and foundations such as, Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation scholarships, Agha Khan Foundation Scholarships, etc. For Karachi campus, Alumni Association, Hindu Community, and Agha Khan Foundation also provides scholarships in limited numbers.",
"What is the mission of the program at FAST NU?
", To produce competent and well-rounded professionals capable of applying Artificial Intelligence & Data Science to solve real-life problems.,
Is Bachelor of Science (Electrical Engineering) offered in Peshawar?,Yes,
What comprise the Degree Correction Fee?,"Rs. 2,000",
Is Bachelor of Science (Electrical Engineering) offered in Peshawar?,Yes,
Enforce for Cogitation Loan,Applicants desirous of seeking study loan should apply for this purpose on the prescribed form available from all campuses or downloadable from the University web site.,
Is Master of Scientific discipline (Computer Science) pop the question in Islamabad?,Yes,
Is Bachelor of Science (Accounting and Finance) offer in Capital of pakistan?,Yes,
Can I pursue a PhD in Electrical Engineering in Islamabad?,"Yes, the Doctor of Philosophy in Electrical Engineering program is offered in Islamabad.",
Is Master of Job Administration offer in Program Type?,No,
What is the extension for Accounts in Peshawar?,ext: 117,
How are selected candidates informed?,The selected candidates are informed through SMS on their cell phones and also via email. Candidates should check their admission status from the University website.,
What are the PEEF Scholarships?,"The Government of Punjab gives 42 scholarships to indigent students with Punjab domicile. Newly admitted students in any campus of the university can apply. The scholarship covers some portion of the tuition fee, with the remaining fee potentially covered by the University as Qarz-e-Hasna.",
What be the Previous Payment Fine?,Late payment fine is levied on the entire outstanding fee (current as well as arrears) at the rate of Re 1.00 per day for every thousand rupees. Registration is suspended TWO months after the due date for payment of fee.,
What comprise the extension for the Electronic computer Lab in Capital of pakistan?,ext: 214,
What is the extension for the Director in Peshawar?,ext: 102,
Is Knight bachelor of Scientific discipline (Business Analytics) offered in Lahore?,Yes,
What comprise the extension for the Electronic computer Lab in Capital of pakistan?,ext: 214,
Is Master of Science (Mathematics) offered in Karachi?,No,
Cost Passkey of Science (Data Skill) offered in Peshawar?,Yes,
"What message does the Dean convey regarding programs in Computing at FAST NU?
","Welcome to the FAST School of Computing, where we have been pioneers in computing education since 1985. Today, we offer five bachelor's, six master's, and two PhD degree programs across five cities in Pakistan. Our focus includes innovative technologies such as Generative AI, Deep Learning, Data Science, Blockchain, Cyber Security, Gaming, Robotics, and more, aimed at making a significant impact on socio-economic development. We are proud of our graduates' active roles nationally and internationally, recognized by P@SHA as the top-ranked university in computing education in Pakistan.",
What is the university extension for Admissions Inquiry in Lahore?,dial 1,
Is Bachelor of Science (Business Analytics) offered in Islamabad?,Yes,
What documents do foreign nationals need to provide for admission?,"Foreign nationals must submit a No Objection Certificate (NOC) from the Ministry of Education, Government of Pakistan at the time of admission.",
Can Single study army intelligence in Karachi?,"Yes, the Bachelor of Science in Artificial Intelligence program is offered in Karachi.",
Is Md of Philosophy (Software system Engineering) offered in Peshawar?,No,
Punjab Educational Endowment Fund (PEEF) Scholarships,The Government of Punjab gives 42 scholarships to indigent students having domicile of Punjab. Newly admitted students in any campus of the university can apply for this scholarship.The scholarship is for 4-year undergraduate studies and covers some portion of the tuition fee. The remaining tuition fee can be given by the University as Qarz-e-Hasna.,
Baluchistan Authorities Talent Board Scholarship,"Baluchistan Government offers scholarships to students of Karachi campus on need-cum-merit for both under-graduate and graduate studies. The scholarship covers full tuition fee for entire duration of the program, renewable every year.",
Is Doctor of Philosophy (Electrical Engineering) offered in Lahore?,Yes,
Is Master of Science (Software Engineering) offered in Peshawar?,No,
Is Passe partout of Science (Applied Linguistics) offer in Chiniot - Faisalabad?,No,
"What are the eligibility and selection criteria for the Bachelor of Science program in Artificial Intelligence at FAST NU?
"," Applicants must have at least 60% marks in SSC (Matric) or an equivalent examination, and at least 50% marks in HSSC or an equivalent examination, with Mathematics passed at the HSSC level. Students awaiting HSSC results can also apply. Pre-medical students who have passed additional math or are awaiting results are eligible for all computing programs.",
Is Master of Science (Artificial Intelligence) offered in Chiniot-Faisalabad?,No,
What is the fax number for the Islamabad campus?,Fax: (051) 410 0619,
Is Master of Science (Software Engineering) offered in Peshawar?,No,
What is the mission of the course of study at fasting NU?,"To develop student's skills necessary to manage software projects, coupling both with its theoretical and practical aspects that, strengthens them to acquire leadership positions in the software industry whereby they can become agents of change and improvement.",
